Nitrogen,Phosphorus,Potassium,Temperature,Humidity,pH_Value,Rainfall,Crop,Yield
87.62082652842949,78.74765109952908,36.76699285109174,34.95071367057937,39.889323923589785,8.382784595303788,236.74984263033545,Rice,1.4874506845284103
44.58361742505267,74.75799783082623,39.33064366496773,35.539910316988625,45.471577490921966,6.604554017887224,198.9809500996225,Rice,1.2498378635289655
55.69334749546852,68.56243630575838,26.10959524300933,22.07755413026925,41.30012522557527,5.8228782820903024,149.82402516084412,Rice,1.0417922442813423
108.4179284632689,55.03244067565667,93.47545928375769,13.14025135807945,70.03506037687632,8.070739596366472,379.0576897607148,Rice,1.7316191255736073
138.61728510106084,43.61551110488346,92.82165102783814,31.276384565758303,81.80586842897057,5.085082794097838,328.3183667701134,Rice,1.999913512216945
10.686783309257564,71.78650908687305,65.62794307456039,15.314792875614309,67.03840860358306,8.142784706647612,83.17882743493155,Rice,0.9017087895033894
115.77523349304931,67.89515401919596,58.4881980494108,40.81460296510027,79.71901542887015,6.651494096559224,179.7468489528085,Rice,1.7638453311820292
77.41817420977766,79.59545408218112,14.206423242774395,13.111805817361333,99.24782870627836,6.637013490706949,268.1795281697477,Rice,1.280496170022447
100.24247250534152,84.22151753684786,85.51146332715895,36.9763521005596,42.519354422648405,5.214297418767893,240.5844087712244,Rice,1.7913094070680042
107.93785083221464,74.23260121163626,29.87174334786955,43.16608750027346,32.209683687035145,7.440696574304008,90.39136381090977,Rice,1.4683456373751749
33.539723004977986,46.38531320727808,46.305819058785865,44.82387266446315,73.32771940183862,6.504290493024815,163.62282789029544,Rice,1.250594824220472
118.21929658289314,23.964954649350297,20.910401620365626,37.33977934291521,66.3550866320802,6.392611615967255,189.22395074179525,Rice,1.4419648707790869
117.7674172064752,9.003770888641593,33.55220833591187,18.034610054632594,52.5633151044931,7.838562350786057,307.5437938096131,Rice,1.3430737566068736
111.1735672251124,22.05982048056624,28.06396690143785,24.54865825327313,56.70903552471077,8.396164311424142,52.09589528799383,Rice,1.1453037140431586
48.21287349424592,30.749633819996205,46.54354999707138,34.745498756300385,50.04428265413361,6.151881413339371,97.45237023422384,Rice,1.0644833920249988
25.472535925190652,40.92051517571962,55.40216540042637,11.33518083686702,77.08509090259787,8.002383303212719,90.31762440723986,Rice,0.8295725013359234
149.60805104777432,71.00262698862797,61.05440781187242,11.48554501173522,88.67786604060481,8.447720493879974,233.0467810289486,Rice,1.7305237306797558
104.35541997188908,74.2804339816409,78.57455091590568,20.42270355612969,77.52687813230341,8.393419119549181,33.06927115908263,Rice,1.4512666684529771
50.37404786537025,64.30167715148033,49.43049524178397,25.7471256486267,96.4411504953256,4.510578318478554,122.90445684666273,Rice,1.215755266072009
